Q,X,Y,Z
,-0.302352905,-0.512695313,-0.267074585
,0.120574951,-0.928421021,-0.10118103
,,,
,0.258651733,-1.145065308,-0.594512939
,-0.396621704,-0.893981934,-0.298843384
,-0.321960449,-0.544692993,-0.122161865
,0.581985474,-0.605773926,-0.050445557
,-0.15184021,-1.305801392,-0.515396118
,-0.339538574,-0.573059082,-0.403091431
,0.302520752,-1.125106812,-0.27897644
,,,
,0.003234863,-0.839599609,-0.35635376
,-0.278930664,-1.290176392,-1.105453491
,-0.814376831,-0.600158691,-0.314651489
,0.147598267,-0.445770264,-0.079681396
,0.685928345,-1.021148682,-0.179733276
,-0.317977905,-1.083602905,-0.417953491
,-0.141571045,-0.718231201,-0.256835938
,0.263275146,-1.010131836,-0.270370483
,,,
,0.109802246,-0.921936035,-0.441696167
,0.103164673,-1.227172852,-0.471725464
,-0.709640503,-0.829071045,-0.193649292
,0.114395142,-0.281860352,0.04385376
,0.704284668,-1.104171753,-0.161407471
,-0.48638916,-1.005508423,-0.380554199
,0.062194824,-0.969909668,-0.432693481
,0.399490356,-0.981582642,-0.4112854
,,,
,0.304153442,-0.890289307,-0.197280884
,-0.728302002,-1.14163208,-0.453720093
,-0.303527832,-0.266998291,-0.048110962
,0.784164429,-0.689254761,-0.058425903
,-0.254104614,-1.277755737,-0.342483521
,-0.359619141,-0.50491333,-0.286483765
,0.20401001,-1.045074463,-0.203170776
,,,
,0.253692627,-0.898239136,-0.172821045
,-0.447906494,-1.350128174,-0.765609741
,-0.516738892,-0.510665894,-0.086364746
,0.681686401,-0.449996948,0.021942139
,-0.232849121,-1.502838135,-0.453460693
,-0.430297852,-0.655029297,-0.243682861
,0.362289429,-1.014266968,-0.259857178
,,,
,0.056869507,-0.91758728,-0.364639282
,0.192779541,-1.261322021,-0.472442627
,-0.583679199,-0.954498291,-0.31652832
,-0.109680176,-0.392486572,-0.102767944
,0.656738281,-0.876205444,0.104904175
,-0.388000488,-1.34526062,-0.41293335
,-0.436584473,-0.510131836,-0.24772644
,0.223983765,-1.159103394,-0.289916992
,,,
,0.362594604,-1.248458862,-0.32131958
,-0.421722412,-1.019592285,-0.264556885
,-0.310577393,-0.552261353,-0.069335938
,0.464889526,-0.605209351,0.020294189
,0.122558594,-1.45274353,-0.29788208
,-0.22883606,-0.821548462,-0.287857056
,0.359008789,-1.24446106,-0.294937134
,,,
,0.047531128,-0.956085205,-0.403305054
,0.130630493,-0.933837891,-0.258041382
,-0.465805054,-1.215148926,-0.70098877
,-0.471954346,-0.288589478,-0.025512695
,0.786697388,-0.671768188,0.010848999
,-0.30241394,-1.406890869,-0.566452026
,-0.045547485,-0.799255371,-0.227508545
,0.12121582,-0.972213745,-0.282775879
