H,X,Y,Z
,0.725082397,-0.405288696,-0.014343262
,-1.207931519,-0.379943848,-1.040985107
,-0.148162842,0.086120605,-1.13470459
,0.419921875,-0.836532593,-0.499847412
,,,
,-0.141159058,-0.779937744,0.150177002
,-0.060043335,0.094039917,0.39616394
,0.316696167,-0.967605591,-3.467437744
,-0.274459839,-0.0493927,-0.03036499
,-0.13494873,-0.021011353,0.446060181
,1.0677948,-0.409545898,-4.475753784
,0.098251343,0.354751587,0.188537598
,-0.844650269,-0.330490112,-1.020019531
,1.436416626,-0.147293091,-0.705535889
,0.162124634,-0.768203735,-0.482620239
,,,
,-0.115478516,-0.745849609,0.13458252
,-0.011138916,-0.138549805,0.147201538
,0.260284424,-0.025543213,-4.070663452
,-0.197952271,0.164276123,-0.313903809
,-0.182479858,-0.054168701,0.690383911
,0.751251221,0.253692627,-5.25680542
,0.009017944,0.163772583,-0.466384888
,-1.121627808,-0.163330078,-0.81489563
,1.900695801,-0.773208618,-0.441238403
,0.079727173,-0.804519653,-0.479995728
,,,
,-0.13192749,-0.765319824,0.124771118
,-0.073303223,0.329818726,-0.057388306
,0.920608521,-0.237731934,-3.051818848
,-0.290908813,-0.131881714,0.574630737
,-0.169662476,0.29045105,0.371154785
,2.062103271,-0.275512695,-2.787765503
,-0.081542969,0.372741699,-0.363601685
,-0.858581543,-0.152999878,-1.220046997
,1.534423828,-0.591842651,-0.559509277
,0.189697266,-0.720855713,-0.629623413
,,,
,-0.144073486,-0.872695923,0.333435059
,-0.079315186,-0.122146606,0.197525024
,-0.382461548,0.461303711,-3.604827881
,-0.182098389,0.230697632,-0.601760864
,-0.157974243,-0.274215698,0.659225464
,-0.161514282,0.790618896,-1.058654785
,0.623550415,0.656356812,-0.609298706
,-0.520202637,-0.152786255,-0.344726563
,-0.762771606,-0.139755249,-0.988372803
,1.554428101,-0.528900146,-0.695724487
,0.22984314,-0.561660767,-0.594177246
,,,
,-0.113586426,-0.943511963,0.175506592
,0.045623779,-0.368469238,0.524093628
,0.827758789,0.458297729,-3.972351074
,-0.154663086,0.597381592,-0.975601196
,0.020523071,-0.33026123,0.743652344
,-0.016494751,0.459655762,-0.087188721
,1.613189697,-0.0415802,-1.77973938
,-0.846939087,-0.050827026,-0.850845337
,-0.504348755,-0.277130127,-1.379837036
,0.781723022,-0.990493774,-0.676742554
,,,
,-0.183547974,-0.795471191,0.2394104
,-0.071990967,-0.227386475,0.546127319
,0.922225952,0.066574097,-3.831832886
,0.071166992,0.571685791,-0.47102356
,-0.266738892,-0.214111328,0.538482666
,0.747268677,0.186065674,-2.60446167
,0.481307983,0.297073364,-0.14440918
,-1.001663208,-0.044692993,-1.477005005
,-0.221908569,0.094741821,-1.269927979
,0.497055054,-0.906051636,-0.462493896
,,,
,-0.166122437,-0.885269165,0.001480103
,-0.065628052,-0.080871582,0.435714722
,0.730712891,-0.307693481,-3.988128662
,-0.075531006,0.312713623,0.365966797
,-0.274932861,0.144104004,0.782058716
,1.465286255,-0.81842041,-3.634780884
,-0.6277771,0.202377319,-0.624542236
,-0.895492554,-0.060348511,-1.160964966
,1.442169189,-0.834365845,-0.784729004
,,,
,-0.315383911,-0.776046753,0.13192749
,-0.0181427,-0.307006836,0.326248169
,-0.206069946,0.947067261,-3.23664856
,0.065811157,0.783279419,-0.366912842
,-0.247329712,-0.324157715,0.682846069
,0.451461792,0.465240479,-1.679672241
,1.027053833,0.910888672,-0.069763184
,-1.106491089,-0.093475342,-1.482452393
,0.377655029,0.571121216,-1.635925293
,0.584945679,-0.83241272,-0.336959839
,,,
,-0.089553833,-0.79083252,0.128433228
,0.039367676,0.337112427,-0.233306885
,1.036895752,0.226150513,-3.99659729
,0.023895264,0.352920532,0.043899536
,-0.279602051,-0.016357422,0.601593018
,1.343841553,-0.320358276,-3.680862427
,0.101119995,0.451797485,-0.62677002
,-0.950576782,-0.188949585,-1.049636841
,1.331237793,-0.860565186,-0.225906372
,,,
,-0.089553833,-0.79083252,0.128433228
,0.039367676,0.337112427,-0.233306885
,1.036895752,0.226150513,-3.99659729
,0.023895264,0.352920532,0.043899536
,-0.279602051,-0.016357422,0.601593018
,1.343841553,-0.320358276,-3.680862427
,0.101119995,0.451797485,-0.62677002
,-0.950576782,-0.188949585,-1.049636841
,1.331237793,-0.860565186,-0.225906372
,,,
,-0.116714478,-0.875839233,0.253082275
,0.008956909,-0.195648193,0.639419556
,-0.681762695,0.188156128,-4.323364258
,-0.08454895,0.33404541,-0.442749023
,-0.092849731,-0.280303955,0.776550293
,-0.133865356,0.764694214,-1.272293091
,0.602142334,0.111053467,-0.841873169
,-0.959747314,-0.14151001,-0.747009277
,-0.687149048,0.032348633,-1.087493896
,0.671936035,-0.870666504,-0.264358521
,,,
,-0.103729248,-0.86869812,-0.01612854
,-0.009338379,-0.526916504,0.205596924
,-0.164047241,0.771240234,-1.65020752
,-0.089233398,0.608505249,-1.175643921
,0.005722046,-0.312850952,0.835861206
,0.019317627,0.608978271,0.061248779
,0.65687561,0.307449341,-1.094940186
,-0.401931763,-0.164733887,-0.684158325
,-0.530349731,-0.231964111,-0.973602295
,1.181716919,-0.774703979,-0.525924683
,0.186798096,-0.663070679,-0.463928223
