E,X,Y,Z
,-0.2396698,-0.734451294,-0.12689209
,-0.091873169,-1.203704834,-0.764511108
,0.30305481,-0.765258789,-0.453689575
,,,
,1.129745483,-0.780700684,0.060440063
,-0.414932251,-0.262573242,0.112915039
,0.352264404,-1.45463562,-0.925842285
,0.905548096,-0.391723633,0.142745972
,-0.458465576,-1.143875122,-0.210571289
,0.075454712,-0.902053833,-0.729629517
,0.275161743,-0.708694458,-0.837127686
,,,
,0.866012573,-0.870254517,0.270965576
,0.431411743,-0.555923462,0.169586182
,-0.663024902,-0.698181152,-0.150421143
,0.846801758,-1.256332397,-0.500396729
,0.608200073,-0.603027344,0.330978394
,-0.376800537,-0.905853271,-0.286407471
,0.478744507,-0.663345337,-1.21232605
,0.333404541,-0.792190552,-0.270904541
,,,
,1.189239502,-0.928787231,0.008560181
,0.357040405,-0.368408203,0.322036743
,-0.326446533,-1.357406616,-0.605010986
,1.074264526,-0.739501953,0.274047852
,0.56199646,-0.653869629,0.017333984
,-0.278045654,-0.978973389,-0.76574707
,0.589797974,-1.078292847,-0.075958252
,0.262176514,-0.89666748,-0.342559814
,,,
,0.992950439,-1.021881104,-0.181564331
,-0.046951294,-0.398849487,-0.200073242
,-0.345062256,-1.218902588,-0.294494629
,1.162216187,-0.835327148,0.067947388
,0.03678894,-0.717376709,0.318954468
,0.424285889,-1.194625854,-0.651702881
,0.40473938,-0.979003906,-0.40536499
,0.190078735,-0.895080566,-0.355926514
,,,
,-0.492248535,-0.821716309,-0.821166992
,-0.453094482,-0.141677856,0.027786255
,1.160202026,-1.207763672,0.086380005
,-0.700408936,-0.908569336,-1.310592651
,0.208770752,-0.36315918,-0.053283691
,1.019638062,-0.489807129,-0.415939331
,0.473007202,-0.602310181,-1.138656616
,,,
,-0.057815552,-1.273178101,-0.056884766
,0.64944458,-0.560745239,0.159591675
,0.407226563,-0.199279785,0.078918457
,-0.90512085,-1.245330811,-0.704055786
,1.036529541,-0.448654175,0.099609375
,-0.923095703,-0.951843262,-0.540481567
,0.561523438,-0.995117188,-0.720581055
