D,X,Y,Z
,-0.006713867,-0.8775177,-0.271606445
,-0.270187378,-0.632537842,0.045089722
,-0.175582886,-0.701812744,0.131652832
,0.144165039,-0.968551636,0.029815674
,0.54838562,-1.141281128,-0.223983765
,0.184509277,-1.050186157,-0.498077393
,,,
,0.172943115,-0.757019043,-0.933181763
,0.060241699,-0.975540161,-1.042785645
,-0.18208313,-0.652420044,-0.460281372
,-0.484512329,-0.542282104,0.073577881
,0.19102478,-0.61567688,-0.011642456
,0.778137207,-1.336410522,-0.750747681
,-0.339035034,-1.062561035,-0.531295776
,0.141830444,-0.847183228,-0.586074829
,,,
,0.415969849,-1.042739868,-1.112594604
,0.010925293,-0.55039978,-1.181030273
,-0.527206421,-0.369262695,-0.190353394
,-0.139877319,-0.367416382,0.166671753
,0.897949219,-0.663833618,-0.319824219
,0.281478882,-0.938140869,-1.012084961
,-0.000350952,-0.592269897,-0.753616333
,0.239883423,-0.737960815,-0.568954468
,,,
,0.29788208,-0.739135742,-1.132003784
,-0.10899353,-0.706436157,-1.124237061
,-0.398330688,-0.392974854,-0.192855835
,0.189376831,-0.124038696,-0.333358765
,0.93661499,-0.705368042,-1.009460449
,-0.182556152,-0.885238647,-0.777709961
,0.17414856,-0.699508667,-0.54397583
,,,
,0.259521484,-0.975845337,-1.040405273
,-0.160339355,-0.522994995,-0.752349854
,-0.58291626,-0.114120483,-0.099990845
,0.547821045,-0.463653564,0.186813354
,0.75352478,-1.296951294,-1.36239624
,-0.090942383,-0.710632324,-0.755447388
,,,
,0.352783203,-1.012115479,-1.452285767
,-0.242034912,-0.327789307,-0.740234375
,-0.397644043,-0.054748535,0.011032104
,1.202774048,-0.685317993,-0.725372314
,0.160263062,-0.769393921,-1.11819458
,0.033081055,-0.557952881,-0.816757202
,,,
,0.361633301,-1.328308105,-1.73210144
,-0.363998413,-0.31741333,-0.223358154
,-0.028366089,-0.099243164,-0.057769775
,1.168945313,-0.769363403,-0.854766846
,-0.167907715,-0.73789978,-0.948959351
,0.116760254,-0.613601685,-0.711898804
,,,
,0.306915283,-0.847137451,-1.15663147
,-0.045623779,-0.432434082,-1.04057312
,-0.520172119,-0.065643311,0.057678223
,0.901046753,-0.525238037,-0.1381073
,-0.027313232,-0.793533325,-1.275924683
,0.230133057,-0.556442261,-0.704864502
,,,
,0.144485474,-0.93586731,-0.998641968
,-0.163986206,-0.838699341,-0.811706543
,-0.150344849,-0.499252319,-0.018035889
,0.413223267,-0.563644409,0.342224121
,0.624725342,-1.195983887,-0.152038574
,0.026351929,-0.989074707,-0.479980469
