W,X,Y,Z
,-0.051956177,-0.509780884,0.024414063
,-0.088256836,-0.4375,0.221618652
,0.193817139,-0.912231445,0.173019409
,0.181396484,-1.671722412,-0.576400757
,0.023895264,-1.068939209,-0.336502075
,-0.010009766,-0.662017822,-0.39616394
,0.070358276,-0.672622681,-0.127914429
,,,
,-0.181640625,-0.725891113,0.022781372
,-0.044662476,-0.860107422,0.116958618
,-0.087722778,-0.488586426,0.014022827
,-0.068572998,-1.471557617,-0.38520813
,-0.07460022,-1.430007935,-0.5105896
,-0.009597778,-0.551956177,-0.130691528
,-0.058197021,-0.404968262,0.043991089
,0.095077515,-0.936767578,-0.10093689
,0.24357605,-1.470657349,-0.409790039
,0.001983643,-1.277374268,-0.332962036
,0.174835205,-0.769256592,-0.289154053
,0.081069946,-0.74407959,-0.014266968
,,,
,0.058532715,-0.996078491,0.042221069
,0.164733887,-0.435089111,0.136978149
,-0.07043457,-1.397659302,-0.168991089
,-0.085769653,-1.644668579,-0.446380615
,0.012710571,-0.165679932,-0.104537964
,0.089111328,-0.567352295,0.111862183
,-0.026748657,-1.367721558,-0.527069092
,0.108428955,-1.390365601,-0.560577393
,0.218643188,-0.861953735,-0.165145874
,0.130187988,-0.707595825,-0.210525513
,,,
,-0.050186157,-0.530517578,-0.079223633
,-0.117324829,-0.318527222,0.237075806
,0.091430664,-2.288864136,-0.386917114
,-0.142074585,-0.734039307,-0.101242065
,0.077362061,-0.060516357,0.120162964
,-0.148986816,-1.66104126,-0.261642456
,-0.016342163,-1.234359741,-0.481552124
,0.135940552,-0.532302856,-0.406387329
,0.158905029,-0.739593506,-0.196792603
,,,
,-0.050186157,-0.530517578,-0.079223633
,-0.117324829,-0.318527222,0.237075806
,0.091430664,-2.288864136,-0.386917114
,-0.142074585,-0.734039307,-0.101242065
,0.077362061,-0.060516357,0.120162964
,-0.148986816,-1.66104126,-0.261642456
,-0.016342163,-1.234359741,-0.481552124
,0.135940552,-0.532302856,-0.406387329
,0.158905029,-0.739593506,-0.196792603
,,,
,-0.006896973,-1.002075195,-0.022155762
,0.029312134,-0.797988892,-0.063796997
,-0.199615479,-0.283477783,0.104644775
,0.513580322,-2.899810791,-0.395278931
,-0.006851196,-0.686828613,-0.098999023
,0.060760498,-0.048217773,0.03717041
,0.167938232,-2.151580811,-0.475814819
,-0.16468811,-0.920806885,-0.061431885
,0.255966187,-0.676437378,-0.225692749
,,,
,-0.057434082,-0.741485596,0.091003418
,0.031341553,-0.675689697,-0.132705688
,0.231689453,-1.603668213,-1.00100708
,-0.041442871,-0.92364502,-0.093536377
,-0.041976929,-0.046234131,-0.089172363
,0.256286621,-1.346984863,-0.013839722
,0.19631958,-1.550018311,-0.966842651
,0.309387207,-0.640960693,-0.628036499
,0.173202515,-0.643966675,-0.199707031
,,,
,0.115112305,-0.735809326,-0.07371521
,-0.203201294,-0.525405884,0.0597229
,-0.108261108,-2.175598145,-0.880554199
,0.051925659,-0.591949463,-0.110809326
,0.019393921,-0.205368042,0.031143188
,0.151779175,-1.304473877,-0.315582275
,0.088394165,-1.456924438,-0.943161011
,0.179763794,-0.640136719,0.142044067
,0.161697388,-0.755859375,-0.008544922
,,,
,0.091003418,-0.808120728,0.104125977
,-0.184371948,-0.647949219,-0.039749146
,-0.332077026,-1.811782837,-0.902954102
,-0.095657349,-0.704620361,-0.699493408
,0.018890381,-0.062194824,0.13420105
,0.08972168,-1.452651978,0.008834839
,0.22038269,-1.574157715,-0.526809692
,0.311172485,-0.586639404,-0.406890869
,0.294250488,-0.792068481,-0.264953613
,,,
,0.062088013,-0.735153198,0.080871582
,-0.159713745,-0.650344849,-0.050674438
,0.127319336,-1.786880493,-0.682907104
,-0.037658691,-1.234481812,-0.138824463
,0.082092285,-0.236175537,-0.105361938
,-0.095550537,-0.782989502,-0.146255493
,0.181381226,-1.269332886,-1.169921875
,0.002212524,-0.924438477,-0.630996704
,0.13999939,-0.593383789,-0.390899658
,,,
,-0.058532715,-0.909942627,-0.012893677
,-0.151901245,-0.858810425,-0.010681152
,-0.120651245,-0.290771484,0.217529297
,0.006225586,-1.562454224,-0.804351807
,-0.148864746,-1.627319336,-0.70791626
,0.097579956,-0.230773926,0.03326416
,-0.12310791,-0.343521118,0.253662109
,0.24281311,-1.667617798,-0.66078186
,-0.007125854,-1.601028442,-0.918319702
,0.292785645,-0.48538208,-0.53503418
,0.114028931,-0.765640259,-0.127746582
,,,
,-0.058532715,-0.909942627,-0.012893677
,-0.151901245,-0.858810425,-0.010681152
,-0.120651245,-0.290771484,0.217529297
,0.006225586,-1.562454224,-0.804351807
,-0.148864746,-1.627319336,-0.70791626
,0.097579956,-0.230773926,0.03326416
