Z,X,Y,Z
,-0.164093018,-1.11869812,0.020568848
,-0.271972656,-0.98928833,-0.194854736
,0.030151367,-0.967102051,-0.088638306
,0.220565796,-0.977081299,-0.183029175
,,,
,-0.113464355,-0.955871582,0.003158569
,-0.382888794,-0.899291992,0.093307495
,0.004516602,-0.974258423,-0.031280518
,0.203033447,-0.926193237,0.157669067
,0.315292358,-0.78793335,0.097351074
,0.013214111,-1.112625122,-0.050018311
,-0.089904785,-1.167373657,0.178695679
,-0.204055786,-1.080673218,-0.02180481
,-0.197906494,-0.971206665,-0.125015259
,0.140701294,-0.96105957,-0.09815979
,0.100250244,-0.96484375,-0.117019653
,,,
,-0.073440552,-0.996810913,0.085662842
,0.014312744,-0.948287964,0.174835205
,-0.253112793,-0.969985962,0.122634888
,-0.387802124,-1.092849731,-0.034469604
,0.236587524,-0.954788208,-0.037521362
,0.274719238,-0.86882019,0.076782227
,0.201751709,-0.836395264,0.142715454
,-0.179901123,-1.159606934,-0.285263062
,-0.308578491,-1.050216675,-0.150619507
,-0.12020874,-0.949523926,-0.291381836
,0.200881958,-0.958526611,-0.117401123
,0.164398193,-0.914932251,-0.21572876
,,,
,-0.121810913,-0.880142212,-0.043960571
,-0.309753418,-0.968139648,0.106918335
,-0.144897461,-0.946380615,-0.174804688
,0.306091309,-0.899658203,0.187271118
,0.482620239,-0.686019897,0.021270752
,-0.151779175,-0.908782959,0.174758911
,-0.346969604,-1.136306763,0.025726318
,-0.347335815,-0.946456909,-0.283584595
,0.24017334,-0.951843262,-0.399887085
,0.409545898,-1.000213623,-0.098205566
,,,
,-0.143127441,-0.898544312,-0.096160889
,-0.637481689,-0.830795288,-0.030715942
,0.296981812,-0.988677979,0.07711792
,0.374404907,-0.910949707,0.123809814
,0.281509399,-0.89163208,0.139022827
,-0.125320435,-1.316009521,-0.119979858
,-0.263381958,-1.135803223,-0.311676025
,-0.005935669,-0.901092529,-0.151092529
,0.372711182,-0.991729736,-0.221115112
,,,
,-0.024612427,-0.939910889,0.030258179
,-0.708297729,-1.017929077,-0.053344727
,-0.053512573,-0.94178772,-0.014678955
,0.383056641,-0.936523438,-0.093109131
,0.421432495,-0.68145752,0.0884552
,-0.073135376,-1.161132813,-0.138626099
,-0.346328735,-1.136764526,-0.180099487
,-0.03666687,-0.978179932,-0.398727417
,0.236450195,-0.916854858,-0.061279297
,,,
,-0.180496216,-0.873031616,-0.036560059
,-0.436462402,-0.913009644,0.0440979
,0.225006104,-0.918884277,0.049591064
,0.448074341,-0.917205811,0.009613037
,0.180587769,-0.940826416,-0.08190918
,-0.331604004,-1.222305298,-0.224227905
,-0.389312744,-1.017333984,-0.17805481
,0.062896729,-0.94468689,-0.334533691
,0.319671631,-0.975875854,-0.176467896
,,,
,-0.241149902,-0.818496704,0.139846802
,-0.342681885,-1.019699097,-0.017456055
,0.079025269,-0.978652954,-0.055404663
,0.292892456,-1.064041138,0.066925049
,0.405776978,-0.697860718,-0.00201416
,-0.094909668,-0.965042114,-0.059127808
,-0.217803955,-1.140853882,-0.171295166
,-0.264312744,-0.965927124,-0.227737427
,0.087463379,-0.944656372,-0.263839722
,0.31362915,-0.989959717,-0.238388062
,,,
,-0.077453613,-0.906600952,0.040115356
,-0.420623779,-0.916290283,0.046417236
,0.145187378,-0.958343506,0.017440796
,0.318313599,-0.95262146,0.006286621
,0.257537842,-0.805740356,0.078277588
,-0.183700562,-1.169174194,-0.039291382
,-0.186828613,-1.070251465,-0.122711182
,-0.296920776,-0.908172607,-0.185058594
,0.106842041,-0.933456421,-0.226531982
,,,
,-0.089065552,-0.984420776,0.019866943
,-0.280471802,-1.014358521,0.106079102
,-0.275390625,-0.864318848,0.140792847
,0.174240112,-0.929290771,0.18409729
,0.338699341,-0.808044434,0.135650635
,0.134353638,-1.022262573,-0.027542114
,-0.150512695,-1.203216553,-0.185409546
,-0.297332764,-1.003875732,-0.124908447
,-0.013977051,-0.933929443,-0.278762817
,0.213775635,-0.927352905,-0.288421631
,,,
,-0.148605347,-0.957763672,0.128814697
,-0.600479126,-0.951538086,0.000213623
,0.267486572,-0.88973999,-0.016799927
,0.481246948,-0.863708496,0.135131836
,0.027755737,-0.827011108,0.057312012
,-0.251037598,-1.382965088,-0.25189209
,-0.398849487,-1.047912598,-0.207199097
,0.265274048,-0.944244385,-0.398620605
,0.227233887,-0.946136475,-0.220443726
