R,X,Y,Z
,-0.742584229,-0.831924438,-0.13369751
,0.10760498,-1.065811157,-0.288589478
,0.418502808,-1.141418457,-0.206100464
,,,
,0.045700073,-1.016143799,-0.305664063
,-0.115707397,-1.00289917,-0.503112793
,-0.3722229,-0.130065918,0.279098511
,1.202056885,-1.020080566,-0.110717773
,-0.936218262,-0.70211792,-0.269042969
,0.328521729,-1.063415527,-0.269348145
,0.240814209,-1.067474365,-0.376602173
,,,
,0.102432251,-1.48236084,-0.596893311
,-0.140945435,-0.974151611,-0.376480103
,-0.184799194,-0.172729492,0.13949585
,1.109008789,-1.307250977,-0.288970947
,-0.797866821,-0.578155518,-0.123428345
,0.249664307,-1.204116821,-0.424179077
,,,
,0.249557495,-1.530685425,-0.523117065
,-0.338607788,-0.727767944,-0.267211914
,0.253311157,-0.208282471,0.12953186
,0.272186279,-1.289169312,-0.485458374
,-0.376419067,-0.638076782,-0.377380371
,0.503112793,-1.183334351,-0.310745239
,,,
,0.072937012,-1.360610962,-0.50819397
,-0.174301147,-0.82434082,-0.422897339
,-0.269775391,0.034439087,-0.048873901
,0.993515015,-1.335174561,-0.370071411
,-0.777755737,-0.547012329,-0.003173828
,0.250564575,-1.137298584,-0.678771973
,,,
,0.020492554,-1.716171265,-0.606231689
,-0.152694702,-0.786682129,-0.282318115
,-0.068344116,-0.251663208,0.200469971
,0.838180542,-1.055389404,-0.259918213
,-0.70552063,-0.828475952,-0.248535156
,0.184463501,-1.03453064,-0.380020142
,,,
,0.124755859,-0.916168213,-0.364089966
,-0.056091309,-1.330627441,-0.297943115
,-0.304046631,-0.460494995,-0.27456665
,0.596939087,-0.535217285,0.120376587
,0.316543579,-1.496688843,-0.560745239
,-0.673614502,-0.449020386,-0.019241333
,0.275085449,-1.12928772,-0.512435913
