B,X,Y,Z
,-0.438247681,-0.950515747,-1.509841919
,-0.020309448,-0.330215454,-0.44631958
,1.084228516,-0.333740234,-0.685302734
,0.335830688,-0.405487061,-1.317398071
,,,
,0.152526855,-0.577911377,-1.168960571
,-0.262313843,-0.344055176,-1.223007202
,-0.531112671,-0.079116821,0.1015625
,1.298797607,-0.712661743,-0.108200073
,-0.442993164,-0.989303589,-1.606689453
,-0.097061157,-0.396133423,-0.177688599
,1.150497437,-0.390228271,-0.558288574
,0.147583008,-0.382949829,-1.438446045
,0.238693237,-0.43637085,-0.7293396
,,,
,0.374069214,-0.855926514,-1.346954346
,0.012023926,-0.44984436,-0.929351807
,-0.640640259,-0.169555664,-0.063995361
,1.211639404,-0.73449707,0.269302368
,-0.181533813,-1.098892212,-1.272537231
,0.045715332,-0.484527588,-0.289550781
,0.915649414,-0.240280151,-0.12449646
,0.603240967,-0.715621948,-1.107147217
,0.360351563,-0.52331543,-0.71194458
