I,X,Y,Z
,-0.041687012,-0.734832764,0.095108032
,-0.006866455,-0.127075195,0.22807312
,0.702331543,0.358413696,-4.189544678
,-0.559204102,0.046890259,0.4868927
,-0.561340332,-0.32951355,-0.768127441
,1.176254272,-0.344161987,-0.19480896
,-0.781921387,-0.273803711,-1.393814087
,-0.140869141,0.493453979,-1.062927246
,0.434539795,-0.350158691,-0.824920654
,,,
,-0.033599854,-0.913772583,0.366546631
,0.064849854,-0.107055664,0.42855835
,0.367385864,-0.652282715,-4.340057373
,-0.401199341,0.021484375,0.056564331
,-1.149993896,-0.367858887,-1.141403198
,1.491363525,-0.705307007,-0.070022583
,-0.300231934,-0.32194519,-1.015472412
,-0.031661987,0.11618042,-0.874664307
,0.66885376,-0.582580566,-0.668502808
,,,
,0.066299438,-1.129623413,0.077316284
,-0.070358276,-0.16444397,0.855285645
,1.389465332,-0.401535034,-4.241195679
,-0.087677002,0.264404297,0.153839111
,-1.387924194,-0.327789307,-0.74887085
,2.325057983,-1.126480103,0.221130371
,-0.120895386,-0.16116333,-1.035903931
,-1.255004883,-0.011245728,-0.952011108
,1.07913208,-0.561172485,-0.776382446
,,,
,0.049240112,-0.862319946,0.203063965
,-0.008651733,0.007324219,0.481796265
,1.275009155,-0.162872314,-4.465393066
,-0.155700684,0.308868408,-0.013275146
,-0.827651978,-0.231628418,-0.979873657
,1.749771118,-0.790740967,-0.088775635
,-0.312438965,-0.016784668,-1.580322266
,-0.739395142,0.055007935,-1.246780396
,0.886413574,-0.751998901,-1.013900757
,,,
,0.056137085,-1.012390137,0.116714478
,-0.156829834,-0.327026367,0.43522644
,0.214996338,0.19921875,-3.667312622
,0.049346924,0.441009521,-0.521835327
,-1.06703186,-0.340820313,-0.451263428
,1.635101318,-0.704406738,-0.496383667
,-0.614685059,-0.302597046,-1.313064575
,-0.578964233,-0.382293701,-1.246795654
,0.522445679,-0.689743042,-0.870986938
,,,
,-0.059204102,-1.05116272,-0.153152466
,-0.055923462,-0.412582397,0.443130493
,0.513671875,0.541427612,-2.777633667
,0.274368286,0.213867188,-0.9009552
,-1.005264282,-0.462432861,-0.295547485
,1.319152832,-0.843582153,-0.467926025
,0.320236206,0.096679688,-0.481109619
,-0.823699951,-0.132797241,-1.342453003
,1.047210693,-0.740829468,-1.648193359
,,,
,-0.00743103,-0.71647644,0.331939697
,-0.113174438,0.58656311,-0.281616211
,0.939041138,0.188491821,-2.032531738
,-0.937698364,-0.081558228,0.173660278
,-0.548904419,-0.169662476,-1.037765503
,1.293365479,-0.536376953,0.125900269
,-0.38710022,-0.546646118,-1.629699707
,-0.642089844,0.001678467,-1.106552124
,0.757064819,-0.584091187,-0.838638306
,,,
,-0.070999146,-0.967895508,0.171615601
,-0.116546631,-0.263809204,0.488601685
,0.485397339,0.573013306,-2.646697998
,0.437606812,0.356384277,-0.495452881
,-1.168899536,-0.42338562,-0.667831421
,1.793548584,-0.507888794,-1.486694336
,0.350814819,-0.141143799,-0.257049561
,-0.515213013,-0.332458496,-1.389343262
,0.598098755,0.293701172,-1.202606201
,0.52494812,-0.677108765,-0.475814819
,,,
,-0.016311646,-0.853988647,0.247146606
,-0.084106445,0.011413574,0.345474243
,0.992996216,-0.162078857,-4.120956421
,-0.011383057,0.149078369,-0.023742676
,-1.495269775,-0.207321167,-1.114898682
,2.888763428,-1.53213501,-0.55291748
,-0.012573242,0.208938599,-1.190368652
,-0.761428833,0.218154907,-1.238723755
,1.325744629,-0.830688477,-1.449264526
,0.378326416,-0.528930664,-0.843429565
