F,X,Y,Z
,-0.021347046,-0.851852417,0.077865601
,-0.079162598,-0.10609436,0.219406128
,0.972503662,0.323120117,-3.193984985
,0.608352661,0.669189453,-1.221572876
,-1.327377319,-0.389556885,0.020111084
,0.332946777,-0.661987305,-0.688186646
,0.843826294,-0.279312134,-0.010391235
,-1.181137085,-0.573547363,-1.488632202
,1.175888062,-0.419265747,-0.591827393
,0.282669067,-0.577514648,-0.670623779
,,,
,-0.035308838,-0.724838257,0.50604248
,-0.042892456,0.641784668,-0.063690186
,0.955078125,0.221878052,-3.548110962
,-0.094223022,0.231918335,0.001281738
,-0.591140747,-0.586181641,-0.536331177
,1.825790405,-0.758728027,0.194869995
,-0.366256714,-0.202529907,-0.805389404
,-0.406204224,-0.595962524,-1.05821228
,1.063858032,-0.833770752,-0.64881897
,,,
,-0.04888916,-0.918304443,0.123031616
,-0.077728271,-0.59828186,0.364837646
,0.156311035,0.59362793,-1.054977417
,0.358657837,0.528198242,-1.77394104
,-0.740097046,-0.296051025,0.329879761
,0.173934937,-0.512756348,-0.926208496
,0.850601196,-0.237030029,0.044448853
,-1.188095093,-0.543395996,-1.410827637
,1.37097168,-0.768478394,-0.933700562
,0.244949341,-0.5650177,-0.414672852
,,,
,-0.016326904,-0.867767334,0.120147705
,-0.022994995,-0.420120239,0.26725769
,0.299331665,0.562606812,-2.313873291
,0.588104248,0.555221558,-1.435150146
,-0.944412231,-0.178253174,-0.120391846
,-0.157440186,-0.437713623,-1.216918945
,1.39175415,-0.556777954,-0.267852783
,-0.899200439,-0.686477661,-0.979293823
,-0.048828125,-0.015640259,-1.081680298
,0.581924438,-0.49105835,-0.71661377
,,,
,-0.016326904,-0.867767334,0.120147705
,-0.022994995,-0.420120239,0.26725769
,0.299331665,0.562606812,-2.313873291
,0.588104248,0.555221558,-1.435150146
,-0.944412231,-0.178253174,-0.120391846
,-0.157440186,-0.437713623,-1.216918945
,1.39175415,-0.556777954,-0.267852783
,-0.899200439,-0.686477661,-0.979293823
,-0.048828125,-0.015640259,-1.081680298
,0.581924438,-0.49105835,-0.71661377
,,,
,-0.066986084,-0.777114868,0.268676758
,-0.014266968,-0.14616394,0.436401367
,0.330062866,0.424499512,-3.194732666
,0.311965942,0.457778931,-1.128036499
,-1.198165894,-0.226318359,-0.365646362
,1.187042236,-0.567138672,-0.578399658
,0.85345459,-0.368362427,-0.104995728
,-0.595504761,-0.817398071,-0.9765625
,-0.080841064,-0.310043335,-0.943450928
,0.639129639,-0.870346069,-0.474472046
,,,
,0.01159668,-0.933822632,0.161346436
,-0.077804565,-0.547058105,0.210998535
,0.001480103,0.46321106,-1.52684021
,0.442657471,0.298431396,-1.237838745
,-0.809280396,-0.176742554,0.093765259
,-0.344345093,-0.379745483,-0.851654053
,1.422866821,-0.773101807,-0.18901062
,-1.351165771,-0.690734863,-1.889587402
,-0.359725952,-0.880661011,-0.939605713
,0.585754395,-0.812072754,0.003829956
